	ABL1_DAC	ADAM9_DAC	AKT1_DAC	AMOTL1_DAC	ANXA1_DAC	ARAF_DAC	ATF3_DAC	ATM_DAC	AURKA_DAC	BACE1_DAC	BGN_DAC	BIRC6_DAC	BRAF_DAC	BUB1_DAC	CABLES2_DAC	CASP3_DAC	CCNG2_DAC	CD55_DAC	CDC20_DAC	CDC25A_DAC	CDC25C_DAC	CDC37_DAC	CDK1_DAC	CDK5_DAC	CDK6_DAC	CDKN1A_DAC	CHEK1_DAC	CHEK2_DAC	CHUK_DAC	CHUK.IKBKB_DAC	CKAP5_DAC	COL13A1_DAC	COMMD1_DAC	COPS2.COPS5_DAC	COPS5_DAC	CREB1_DAC	CREBBP_DAC	CSNK1E_DAC	CSNK2A1_DAC	CSNK2A1.CSNK2A2.CSNK2B_DAC	CSNK2A1.CSNK2A2.CSNK2B.RELA_DAC	CTNNB1_DAC	CUL1.ELK1.FBXO25.RBX1.SKP1_DAC	CUL2_DAC	CXXC5_DAC	CYLD_DAC	DKK1_DAC	DNAJB2_DAC	DUSP1_DAC	DVL2_DAC	EGFR_DAC	EIF2AK2_DAC	EIF2AK2.PDGFB.PDGFRB_DAC	ELK1_DAC	ELOC_DAC	EP300_DAC	ERBB2_DAC	ERBB3_DAC	EVL_DAC	FBLN1_DAC	FDPS_DAC	FGF13_DAC	FMR1_DAC	FN1_DAC	FOS_DAC	FOXM1_DAC	FYN_DAC	GSK3B_DAC	GSN_DAC	HDAC1_DAC	HDAC3_DAC	HIF1A_DAC	HIPK2_DAC	HMGA2_DAC	HMGB2_DAC	HMGCR_DAC	HUWE1_DAC	ICAM1_DAC	IGF1R_DAC	IKBKB_DAC	IKBKG_DAC	IL4R_DAC	IL7R_DAC	IQGAP1_DAC	ITGB8_DAC	JUN_DAC	KAT2A_DAC	KAT2B_DAC	LATS2_DAC	LIMK2_DAC	LRP1_DAC	LTBP3_DAC	MAD2L2_DAC	MAP2K1_DAC	MAP2K3_DAC	MAP2K4_DAC	MAP2K6_DAC	MAP2K7_DAC	MAP3K1_DAC	MAP3K2_DAC	MAP3K20_DAC	MAP3K4_DAC	MAP3K7_DAC	MAPK1_DAC	MAPK11_DAC	MAPK12_DAC	MAPK13_DAC	MAPK14_DAC	MAPK3_DAC	MAPK6_DAC	MAPK8_DAC	MAPK9_DAC	MAPKAP1.MLST8.MTOR.RICTOR_DAC	MAPKAPK2_DAC	MAPKAPK3_DAC	MAPT_DAC	MDM2_DAC	MEX3B_DAC	MOCOS_DAC	MTOR_DAC	MTOR.RICTOR_DAC	MTOR.RPTOR_DAC	MVD_DAC	MVK_DAC	NDC80_DAC	NFKBIA_DAC	NOTCH1_DAC	NUF2_DAC	OGT_DAC	PAG1_DAC	PAK1_DAC	PAK2_DAC	PBK_DAC	PDPK1_DAC	PIAS1_DAC	PIAS3_DAC	PKIA_DAC	PKM_DAC	PKN1_DAC	PLK1_DAC	PMVK_DAC	PPM1A_DAC	PPM1D_DAC	PPP2CA_DAC	PPP3CA_DAC	PPP3CB_DAC	PPP3CC_DAC	PPP4C_DAC	PRKACA_DAC	PRKCA_DAC	PRKCD_DAC	PRMT5_DAC	PRPF4_DAC	PTK6_DAC	PTPN1_DAC	PTPN11_DAC	PTPRA_DAC	RAC1_DAC	RAD23A_DAC	RAF1_DAC	RARA_DAC	RASGRF1_DAC	RB1_DAC	RELA_DAC	RFWD2_DAC	RHOA_DAC	RHOD_DAC	RICTOR_DAC	ROCK1_DAC	RPS6KA1_DAC	RPS6KA2_DAC	RPS6KA3_DAC	RPS6KA5_DAC	RPS6KB1_DAC	RRM2B_DAC	S100A2_DAC	SELPLG_DAC	SERPINA1_DAC	SETD7_DAC	SH3YL1_DAC	SHC1_DAC	SIRT1_DAC	SKIL_DAC	SKP2_DAC	SMAD4_DAC	SNAI1_DAC	SNAP29_DAC	SNRPA_DAC	SPI1_DAC	SREBF2_DAC	SRPK1_DAC	STAT3_DAC	STK10_DAC	STK11_DAC	STX6_DAC	SUMO1_DAC	TAB1_DAC	TACC1_DAC	TAF12_DAC	TAF1B_DAC	TAOK1_DAC	TAOK2_DAC	TARDBP_DAC	TBL1X_DAC	TCF3_DAC	TGFA_DAC	TGFB1_DAC	TNIK_DAC	TNK2_DAC	TOP2A_DAC	TP53_DAC	TP53.SMAD2_DAC	TP63_DAC	TPR_DAC	TPX2_DAC	TRIM28_DAC	TRIM33_DAC	TRIOBP_DAC	UBE2D3_DAC	UBE2I_DAC	USP22_DAC	VDR_DAC	VIM_DAC	WNT_DAC	WNT5A_DAC	XIAP_DAC	YAP1_DAC	YWHAZ_DAC	ZBTB17_DAC	ubiquitin_DAC
Perturb_4342203	1	1	1	0	1	0	1	1	1	-1	1	1	0	-1	-1	-1	-1	-1	1	1	1	1	1	0	0	1	-1	1	0	-1	1	-1	-1	1	1	1	-1	0	1	-1	1	1	1	0	-1	0	0	-1	1	-1	1	0	1	1	1	1	1	1	-1	1	1	1	0	-1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	1	1	-1	0	0	1	1	0	1	-1	-1	-1	1	1	1	1	1	-1	1	0	1	0	-1	0	0	1	0	1	1	1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	1	1	-1	-1	-1	0	0	1	1	1	-1	1	1	1	1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	1	-1	0	-1	-1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	0	-1	-1	1	-1	0	1	1	1	1	-1	1	-1	1	-1	-1	1	1	0	1	1	-1	0	0	0	1	-1	-1	1	1	-1	1	1	1	-1	-1	1	1	1	1	1	1	0	1	1	1	1	1	-1	0	-1	1
Perturb_3036820	1	1	1	0	1	0	-1	1	1	-1	-1	1	0	1	1	-1	1	1	1	1	-1	1	1	0	0	1	-1	-1	0	-1	-1	1	-1	1	1	1	1	0	1	-1	1	-1	1	0	-1	0	0	1	1	-1	1	0	1	1	1	1	-1	-1	-1	-1	-1	-1	0	-1	1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	1	1	0	0	1	1	0	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	0	-1	0	1	0	0	-1	0	-1	1	1	1	-1	-1	1	1	1	-1	1	-1	-1	1	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	1	1	1	0	0	1	-1	-1	1	1	1	1	-1	0	-1	1	0	0	0	0	0	-1	-1	0	0	1	-1	-1	-1	-1	0	-1	1	-1	-1	1	-1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	1	0	1	1	1	-1	0	1	-1	1	-1	1	-1	1	1	-1	-1	1	-1	0	1	-1	1	0	0	0	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	0	-1	1	-1	-1	1	1	0	1	1
Perturb_1682813	1	-1	1	0	-1	0	1	1	1	-1	-1	-1	0	1	1	-1	1	-1	1	1	1	1	1	0	0	1	-1	1	0	-1	1	1	-1	1	1	1	1	0	1	-1	1	-1	1	0	1	0	0	-1	1	-1	1	0	1	1	1	1	1	1	-1	-1	-1	1	0	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	1	-1	0	0	1	1	0	-1	1	1	-1	1	1	-1	-1	-1	-1	1	0	-1	0	-1	0	0	1	0	1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	0	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	0	0	1	-1	-1	1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1	-1	0	-1	-1	1	-1	1	-1	-1	-1	1	1	1	1	-1	1	-1	1	1	1	1	0	-1	-1	1	1	0	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	1	1	0	-1	-1	-1	-1	1	-1	0	-1	1
Perturb_2408318	1	1	1	0	-1	0	1	1	1	1	-1	-1	0	1	1	-1	1	-1	-1	-1	-1	1	-1	0	0	1	1	1	0	-1	-1	1	-1	1	1	1	-1	0	1	1	-1	-1	1	0	1	0	0	1	1	-1	1	0	1	1	1	1	1	1	-1	-1	-1	-1	0	-1	1	1	-1	-1	-1	1	1	-1	1	-1	1	-1	-1	1	1	0	0	1	-1	0	-1	1	1	-1	1	-1	-1	-1	-1	-1	1	0	1	0	-1	0	0	1	0	1	1	1	1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	1	1	-1	1	-1	1	-1	-1	0	-1	1	0	0	0	0	0	-1	-1	0	0	1	-1	-1	-1	-1	0	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	-1	1	0	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	0	-1	1	-1	-1	1	1	0	1	1
Perturb_3931808	1	1	1	0	-1	0	1	1	1	-1	-1	1	0	-1	-1	-1	1	1	1	1	1	1	1	0	0	1	-1	1	0	-1	1	-1	-1	1	1	-1	-1	0	1	1	1	-1	1	0	-1	0	0	-1	1	-1	-1	0	1	1	1	1	-1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	0	0	1	-1	0	1	1	-1	-1	1	1	1	1	1	1	1	0	-1	0	1	0	0	-1	0	-1	1	1	-1	1	-1	1	-1	1	-1	1	1	1	1	1	1	0	-1	-1	-1	-1	1	1	-1	1	1	-1	1	0	0	1	1	1	1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	1	-1	0	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	0	-1	-1	1	-1	0	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	0	1	1	-1	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	1	1	1	0	-1	1	-1	-1	1	-1	0	-1	1
Perturb_0217869	1	1	-1	0	1	0	-1	1	1	-1	1	1	0	1	-1	-1	-1	-1	1	-1	-1	1	-1	0	0	1	1	-1	0	-1	1	-1	-1	1	1	1	1	0	-1	1	1	1	1	0	-1	0	0	-1	1	-1	1	0	1	1	1	1	1	1	-1	-1	1	1	0	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	0	0	1	1	0	1	-1	1	1	1	1	-1	-1	1	-1	1	0	1	0	-1	0	0	1	0	1	1	1	1	1	-1	1	1	1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	1	-1	-1	1	-1	0	0	-1	-1	-1	-1	1	1	1	1	0	-1	1	0	0	0	0	0	-1	-1	0	0	1	1	-1	1	1	0	1	1	-1	-1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	0	-1	-1	1	-1	0	1	1	1	1	1	1	1	1	-1	-1	1	-1	0	1	-1	1	0	0	0	-1	-1	-1	1	1	1	-1	1	1	-1	1	-1	1	1	1	1	-1	0	1	1	1	1	1	1	0	1	1
Perturb_3824439	1	1	-1	0	-1	0	-1	1	1	-1	-1	-1	0	1	1	-1	1	1	1	-1	-1	1	-1	0	0	1	1	1	0	-1	-1	1	-1	1	1	1	1	0	-1	-1	1	-1	1	0	1	0	0	1	1	-1	1	0	1	1	1	-1	1	1	-1	-1	-1	-1	0	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	0	0	1	1	0	-1	1	1	1	1	-1	-1	-1	-1	1	1	0	-1	0	1	0	0	-1	0	-1	1	1	1	1	-1	1	1	1	-1	1	1	-1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	0	0	-1	-1	-1	1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	1	-1	-1	1	0	1	1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	1	0	1	1	1	1	0	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	0	-1	1	-1	-1	1	1	0	1	1
Perturb_3811048	1	1	1	0	-1	0	1	1	1	-1	-1	-1	0	1	1	-1	1	-1	-1	1	1	1	1	0	0	1	-1	-1	0	-1	-1	1	-1	1	1	1	-1	0	1	-1	1	-1	1	0	1	0	0	1	1	-1	1	0	1	1	1	1	1	1	-1	-1	-1	-1	0	-1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	0	0	1	1	0	-1	1	1	-1	1	-1	-1	-1	-1	1	1	0	-1	0	1	0	0	-1	0	1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	0	0	1	1	-1	1	1	1	1	-1	0	-1	1	0	0	0	0	0	-1	-1	0	0	1	-1	-1	-1	-1	0	-1	-1	1	-1	1	-1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	1	0	1	1	1	1	0	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	1	0	-1	1	-1	-1	1	-1	0	-1	1
Perturb_0388850	1	1	1	0	1	0	-1	1	1	-1	-1	1	0	1	1	-1	1	1	1	1	-1	1	-1	0	0	1	-1	-1	0	-1	-1	1	-1	1	1	-1	1	0	1	-1	1	-1	1	0	-1	0	0	1	1	-1	1	0	1	1	1	-1	-1	-1	-1	-1	-1	-1	0	-1	1	1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	1	1	0	0	1	1	0	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	0	1	0	1	0	0	-1	0	-1	1	1	1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	1	1	1	0	0	1	-1	-1	1	1	1	1	-1	0	-1	1	0	0	0	0	0	-1	-1	0	0	1	-1	-1	-1	-1	0	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	1	1	0	1	1	1	-1	0	1	-1	1	-1	1	-1	1	1	-1	1	1	-1	0	1	-1	1	0	0	0	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	0	-1	1	-1	-1	1	1	0	1	1
Perturb_1224956	1	1	-1	0	1	0	-1	1	1	-1	1	-1	0	1	1	-1	1	1	1	1	1	1	1	0	0	1	-1	-1	0	-1	-1	1	-1	1	1	-1	1	0	-1	-1	1	1	1	0	1	0	0	1	1	-1	1	0	1	1	1	-1	-1	-1	1	-1	-1	-1	0	1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	-1	1	1	0	0	1	1	0	-1	1	1	1	-1	-1	-1	-1	-1	1	1	0	-1	0	1	0	0	-1	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	1	1	-1	1	1	-1	1	0	0	-1	-1	-1	-1	1	1	1	-1	0	-1	1	0	0	0	0	0	-1	-1	0	0	1	1	-1	-1	1	0	1	-1	1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	1	0	1	1	1	1	0	1	-1	-1	-1	-1	-1	1	1	-1	1	1	-1	0	-1	-1	1	0	0	0	-1	1	1	1	1	-1	1	-1	-1	1	1	1	1	-1	1	1	1	0	-1	1	-1	-1	1	-1	0	-1	1
Perturb_2838637	1	-1	1	0	-1	0	-1	1	1	-1	-1	-1	0	1	1	-1	1	1	1	1	1	1	1	0	0	1	-1	1	0	-1	1	1	-1	1	1	1	1	0	1	-1	1	-1	1	0	1	0	0	-1	1	-1	1	0	1	1	1	1	1	1	1	-1	-1	1	0	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	0	0	1	1	0	-1	1	1	-1	1	1	-1	-1	-1	1	1	0	-1	0	1	0	0	-1	0	1	1	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	1	-1	0	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	0	0	1	-1	-1	1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1	-1	0	-1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	1	0	-1	-1	1	1	0	1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	-1	-1	1	-1	0	-1	1	-1	-1	1	-1	0	-1	1
Perturb_0326846	1	-1	1	0	-1	0	-1	1	1	-1	-1	-1	0	1	1	-1	1	1	-1	1	-1	1	-1	0	0	1	-1	1	0	-1	-1	1	-1	1	1	1	-1	0	1	-1	1	-1	1	0	1	0	0	1	1	-1	1	0	1	1	1	-1	1	1	-1	-1	-1	-1	0	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	0	0	1	1	0	-1	1	1	-1	1	-1	-1	-1	-1	1	1	0	1	0	1	0	0	-1	0	-1	1	1	1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	0	0	1	1	-1	1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1	-1	0	-1	1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	1	0	1	1	1	1	0	1	-1	1	-1	1	-1	1	1	-1	-1	-1	1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	-1	1	1	0	-1	-1	-1	-1	1	1	0	1	1
Perturb_3910789	1	1	-1	0	1	0	-1	1	1	-1	-1	1	0	1	1	-1	-1	1	1	1	1	1	1	0	0	1	-1	1	0	-1	-1	1	-1	1	1	-1	1	0	-1	-1	1	-1	1	0	1	0	0	1	1	-1	1	0	1	1	1	-1	-1	-1	1	-1	1	-1	0	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	1	-1	0	0	1	1	0	-1	-1	1	1	1	-1	-1	-1	-1	1	1	0	-1	0	1	0	0	-1	0	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	0	-1	-1	1	1	1	1	1	1	1	-1	1	0	0	-1	-1	-1	1	1	1	1	1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	1	-1	-1	1	0	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	1	1	0	1	1	1	1	0	1	-1	-1	-1	-1	1	1	1	-1	1	1	-1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	1	1	-1	0	1	1	1	1	1	-1	0	-1	1
Perturb_3823909	1	1	-1	0	-1	0	-1	1	1	-1	-1	-1	0	1	1	-1	1	1	1	-1	-1	1	-1	0	0	1	1	1	0	-1	-1	1	-1	1	1	1	1	0	-1	-1	1	-1	1	0	1	0	0	1	1	-1	1	0	1	1	1	-1	1	1	-1	-1	-1	-1	0	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	0	0	1	1	0	-1	1	1	1	1	-1	-1	-1	-1	1	1	0	1	0	1	0	0	-1	0	-1	1	1	1	1	-1	1	1	1	-1	1	1	-1	-1	1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	0	0	-1	-1	-1	1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	1	-1	-1	1	0	1	1	1	-1	1	-1	-1	-1	-1	1	1	1	-1	1	1	1	1	1	1	0	1	1	1	1	0	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	-1	0	-1	1	-1	-1	1	1	0	1	1
Perturb_0524842	1	1	1	0	-1	0	-1	1	1	-1	-1	-1	0	1	1	-1	1	-1	1	1	1	1	1	0	0	1	-1	1	0	-1	-1	1	-1	1	1	-1	1	0	1	-1	1	-1	1	0	1	0	0	1	1	-1	1	0	1	1	1	1	-1	-1	1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	0	0	1	1	0	-1	1	1	-1	-1	-1	-1	-1	-1	-1	1	0	-1	0	-1	0	0	1	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	1	-1	0	-1	-1	-1	-1	1	1	-1	1	-1	-1	1	0	0	1	-1	-1	1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	-1	-1	0	-1	-1	1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	0	1	1	1	1	0	1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	1	1	0	-1	1	-1	-1	1	-1	0	-1	1
Perturb_2997203	1	1	1	0	-1	0	1	-1	-1	-1	-1	1	0	-1	-1	1	1	1	1	1	1	1	1	0	0	1	-1	-1	0	-1	1	-1	-1	1	1	-1	1	0	1	-1	1	-1	1	0	-1	0	0	-1	1	-1	-1	0	1	1	1	-1	-1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	-1	1	-1	1	1	-1	-1	1	1	-1	0	0	1	1	0	1	-1	-1	-1	-1	1	1	1	1	1	1	0	-1	0	1	0	0	-1	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	1	1	0	-1	-1	-1	-1	1	1	-1	1	1	-1	-1	0	0	1	-1	1	1	1	1	1	-1	0	1	-1	0	0	0	0	0	-1	1	0	0	-1	-1	-1	1	-1	0	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	1	0	-1	-1	1	-1	0	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	0	1	1	-1	0	0	0	1	-1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	1	1	1	0	-1	-1	-1	-1	1	-1	0	-1	1
Perturb_2800748	1	-1	1	0	1	0	-1	1	1	-1	1	-1	0	1	1	-1	1	1	1	1	1	1	1	0	0	1	-1	-1	0	-1	1	1	-1	1	1	-1	1	0	1	-1	1	1	1	0	-1	0	0	-1	1	-1	1	0	1	1	1	-1	-1	-1	1	-1	-1	1	0	1	-1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	0	0	1	1	0	-1	1	1	-1	1	1	-1	-1	1	1	1	0	-1	0	1	0	0	-1	0	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	0	-1	-1	-1	-1	1	1	-1	1	1	-1	1	0	0	1	-1	-1	-1	1	1	1	-1	0	-1	1	0	0	0	0	0	-1	-1	0	0	1	-1	-1	-1	-1	0	-1	-1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	1	1	1	0	-1	-1	1	-1	0	1	-1	-1	1	-1	-1	1	1	-1	1	-1	-1	0	1	-1	1	0	0	0	-1	1	1	1	1	-1	1	-1	-1	1	1	1	1	-1	-1	1	-1	0	-1	1	-1	-1	1	-1	0	-1	1
Perturb_0331041	1	1	-1	0	1	0	1	1	1	-1	1	-1	0	1	-1	-1	-1	-1	1	-1	-1	1	-1	0	0	1	1	-1	0	-1	1	1	-1	1	1	1	1	0	-1	1	1	1	1	0	-1	0	0	-1	1	-1	1	0	1	1	1	-1	1	1	-1	-1	1	1	0	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	0	0	1	-1	0	1	1	1	1	1	1	-1	-1	1	-1	1	0	1	0	-1	0	0	1	0	1	1	1	1	1	-1	1	1	1	-1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	1	-1	-1	1	1	0	0	-1	-1	-1	-1	1	1	1	1	0	-1	1	0	0	0	0	0	-1	-1	0	0	1	1	-1	1	1	0	1	1	-1	-1	1	-1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	0	-1	-1	1	-1	0	1	1	1	1	1	1	1	1	-1	-1	1	-1	0	1	-1	1	0	0	0	-1	-1	-1	1	1	1	-1	1	1	-1	1	-1	1	1	1	1	-1	0	1	1	1	1	1	1	0	1	1
Perturb_2588655	1	1	-1	0	-1	0	-1	1	1	-1	-1	1	0	1	1	-1	1	1	1	-1	-1	1	-1	0	0	1	1	1	0	-1	-1	1	-1	1	1	-1	-1	0	-1	-1	1	-1	1	0	1	0	0	1	1	-1	1	0	1	1	1	-1	-1	-1	1	-1	-1	-1	0	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	0	0	1	1	0	-1	-1	1	1	1	-1	-1	-1	-1	1	1	0	-1	0	1	0	0	-1	0	-1	1	1	1	1	-1	1	1	1	-1	1	1	-1	-1	1	-1	0	-1	-1	-1	-1	-1	1	1	-1	1	1	1	0	0	-1	1	-1	1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	1	-1	-1	1	0	1	1	1	-1	1	1	-1	-1	-1	1	-1	1	-1	-1	1	1	1	1	1	0	1	1	1	1	0	1	-1	-1	-1	1	-1	1	1	-1	1	-1	1	0	-1	-1	1	0	0	0	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	1	-1	1	1	1	0	-1	1	-1	-1	1	1	0	1	1
Perturb_1020535	1	1	1	0	1	0	1	1	1	-1	1	1	0	-1	-1	-1	1	-1	1	1	-1	1	1	0	0	1	-1	1	0	-1	1	-1	-1	1	1	1	-1	0	1	-1	1	1	1	0	-1	0	0	-1	1	-1	1	0	1	1	1	1	1	1	-1	1	-1	1	0	-1	1	1	1	1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	0	0	1	-1	0	1	1	-1	-1	1	1	1	1	1	1	1	0	-1	0	1	0	0	-1	0	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	-1	1	0	-1	-1	-1	-1	-1	1	-1	-1	1	1	-1	0	0	1	1	1	-1	1	1	1	-1	0	1	1	0	0	0	0	0	-1	-1	0	0	-1	-1	-1	1	-1	0	-1	1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	1	1	0	-1	-1	1	-1	0	1	1	1	1	1	-1	-1	1	-1	-1	-1	1	0	1	1	-1	0	0	0	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	1	1	1	1	0	-1	1	-1	-1	1	1	0	1	1
