MO000079128 MO000009386 activates
MO000008230 MO000009386 activates
MO000058389 MO000004672 activates
MO000058389 MO000004677 activates
MO000009403 MO000007821 activates
MO000022211 MO000007821 activates
MO000102208 MO000030859 activates
MO000019341 MO000030859 activates
MO000102216 MO000030859 activates
MO000041374 MO000030859 activates
MO000078695 MO000030859 activates
MO000019507 MO000019481 activates
MO000019071 MO000021242 activates
MO000021242 MO000019311 activates
MO000021242 MO000019310 activates
MO000034271 MO000019876 activates
MO000021344 MO000013123 activates
MO000009386 MO000004677 activates
MO000022222 MO000009339 inactivates
MO000009086 MO000009386 activates
MO000078695 MO000092896 activates
MO000078695 MO000004689 activates
MO000019341 MO000092896 activates
MO000019341 MO000004689 activates
MO000102668 MO000089506 activates
MO000041374 MO000092896 activates
MO000041374 MO000004689 activates
MO000042756 MO000016989 inactivates
MO000004681 MO000018137 activates
MO000004677 MO000018137 activates
MO000018901 MO000017049 activates
MO000042756 MO000017049 activates
MO000042756 MO000058538 activates
MO000058481 MO000021172 inactivates
MO000004681 MO000009253 activates
MO000137417 MO000009253 activates
MO000004681 MO000032335 activates
MO000137417 MO000032352 activates
MO000137417 MO000022265 activates
MO000016989 MO000017049 inactivates
MO000016989 MO000058538 inactivates
MO000057456 MO000017049 inactivates
MO000080970 MO000017049 inactivates
MO000057456 MO000058538 inactivates
MO000080970 MO000058538 inactivates
MO000084423 MO000030859 activates
MO000019070 MO000105854 inactivates
MO000004681 MO000059843 activates
MO000059843 MO000004677 inactivates
MO000137417 MO000094993 activates
MO000009339 MO000009253 activates
MO000059863 MO000094993 activates
MO000085411 MO000094993 activates
MO000059867 MO000094993 activates
MO000019618 MO000017049 activates
MO000033904 MO000017049 activates
MO000018459 MO000017049 activates
MO000022093 MO000019469 activates
MO000021423 MO000019618 inactivates
MO000009403 MO000009339 activates
MO000021423 MO000009339 activates
MO000022211 MO000009339 activates
MO000009415 MO000009339 activates
MO000009415 MO000092896 activates
MO000019341 MO000085403 activates
MO000078695 MO000085403 activates
MO000092896 MO000009253 activates
MO000009339 MO000036634 activates
MO000059863 MO000036634 activates
MO000085411 MO000036634 activates
MO000059867 MO000036634 activates
MO000092896 MO000036634 activates
MO000022211 MO000019344 inactivates
MO000021242 MO000019344 inactivates
MO000004681 MO000036634 activates
MO000004677 MO000019469 activates
MO000019315 MO000019975 activates
MO000137417 MO000089506 activates
MO000018901 MO000019469 inactivates
MO000060084 MO000022081 activates
MO000022217 MO000022208 activates
MO000019344 MO000022208 activates
MO000009415 MO000022209 inactivates
MO000059863 MO000018962 activates
MO000085411 MO000018962 activates
MO000059867 MO000018962 activates
MO000022217 MO000009339 inactivates
MO000019344 MO000009339 inactivates
MO000022208 MO000009253 inactivates
MO000017774 MO000020628 inactivates
MO000023642 MO000022210 activates
MO000059863 MO000018901 activates
MO000085411 MO000018901 activates
MO000059867 MO000018901 activates
MO000021423 MO000030860 activates
MO000030859 MO000019548 activates
MO000030900 MO000022227 inactivates
MO000021423 MO000007821 activates
MO000023536 MO000023445 inactivates
MO000019548 MO000023311 activates
MO000022399 MO000021748 activates
MO000031006 MO000030895 inactivates
MO000020398 MO000031189 inactivates
MO000020561 MO000013123 inactivates
MO000020561 MO000078237 inactivates
MO000020561 MO000078241 inactivates
MO000020561 MO000165730 inactivates
MO000020398 MO000031006 inactivates
MO000102668 MO000032381 activates
MO000032436 MO000009386 inactivates
MO000021172 MO000019315 inactivates
MO000022393 MO000021172 inactivates
MO000019363 MO000033264 activates
MO000033264 MO000018901 activates
MO000019315 MO000018901 activates
MO000019310 MO000019363 inactivates
MO000022081 MO000019363 inactivates
MO000009086 MO000078237 inactivates
MO000009086 MO000078241 inactivates
MO000009086 MO000165730 inactivates
MO000034342 MO000004677 activates
MO000056654 MO000018137 inactivates
MO000019985 MO000018137 inactivates
MO000034342 MO000004677 inactivates
MO000022222 MO000004677 inactivates
MO000034393 MO000017421 activates
MO000102457 MO000016989 inactivates
MO000032335 MO000018137 inactivates
MO000032335 MO000079681 inactivates
MO000032352 MO000018137 activates
MO000030859 MO000019469 inactivates
MO000031213 MO000019469 inactivates
MO000035206 MO000056654 inactivates
MO000030998 MO000019469 inactivates
MO000058481 MO000019507 inactivates
MO000017421 MO000019985 inactivates
MO000019310 MO000019315 inactivates
MO000022227 MO000007821 activates
MO000032664 MO000019344 activates
MO000030860 MO000019469 inactivates
MO000022227 MO000007821 inactivates
MO000036573 MO000009403 inactivates
MO000036570 MO000009403 inactivates
MO000036572 MO000009403 inactivates
MO000022211 MO000019344 inactivates
MO000036573 MO000019344 inactivates
MO000022211 MO000019344 inactivates
MO000036570 MO000019344 inactivates
MO000022211 MO000019344 inactivates
MO000036572 MO000019344 inactivates
MO000036570 MO000009415 inactivates
MO000036572 MO000009415 inactivates
MO000036590 MO000022210 inactivates
MO000036590 MO000009339 activates
MO000036590 MO000022208 inactivates
MO000036590 MO000022210 activates
MO000036634 MO000013123 inactivates
