ID	Transpath ID
ABL1	MO000020628
AKT1	MO000017421,MO000058481,MO000077678
AMOTL1	MO000132736,MO000132738,MO000132740
APAF1	MO000019792
ARAF	MO000008230,MO000130269
ATM	MO000031006
AURKA	MO000032481,MO000082438
BRAF	MO000031935,MO000079128
CASP3	MO000020398,MO000105854
CASP9	MO000020367
CBX4	MO000094750
CDC25A	MO000023445
CDC25B	MO000023447
CDC25C	MO000022399,MO000022400
CDC37	MO000084635
CDH1	MO000016977
CDK1	MO000021743,MO000021748
CDK5	MO000088373
CDK6	MO000023341
CDKN1A	MO000020561
CHEK1	MO000023536,MO000082710
CHEK2	MO000030895
CHUK	MO000019311,MO000022081,MO000060084
COMMD1	MO000058234
COPS2	MO000031213
COPS5	MO000022093,MO000031213
CREB1	MO000060543
CREBBP	MO000057745
CSNK1E	MO000030916
CSNK2A1	MO000018901,MO000018902,MO000033264
CSNK2A2	MO000018901,MO000033264
CSNK2B	MO000018901,MO000033264
CTNNB1	MO000017049,MO000058538
CUL1	MO000321854
CUL2	MO000034271
CYBA	MO000161481
CYBB	MO000161481
CYLD	MO000041170
DKK1	MO000134048
DUSP1	MO000022222,MO000083769
DUSP10	MO000030861,MO000126134
DUSP16	MO000036550,MO000103285
DUSP18	MO000209230
DUSP22	MO000176197,MO000176198
DUSP4	MO000032652
DUSP5	MO000137304
DUSP7	MO000032711
DVL2	MO000042756
EGFR	MO000016677,MO000082277
EIF2AK2	MO000008180,MO000038746,MO000094946
ELK1	MO000019544,MO000321854
ELOC	MO000019876
EP300	MO000019985,MO000056654
EPM2A	MO000167329
ERBB2	MO000018962,MO000060210
ERBB3	MO000019475
FAS	MO000004928
FBXO25	MO000321854
FER	MO000005009
FMR1	MO000166164
FOS	MO000018137,MO000079681
FOXM1	MO000026496,MO000028099,MO000088314,MO000332718,MO000338489
FOXO3	MO000020701
FYN	MO000005412
GSK3B	MO000016989,MO000057456,MO000079981,MO000080970
HDAC1	MO000023575,MO000056714
HDAC3	MO000023578,MO000079379,MO000079380
HIF1A	MO000025800
HIPK2	MO000031076,MO000098995,MO000098997
HRAS	MO000020360
HTT	MO000033243
IKBKB	MO000019310,MO000022081,MO000060068
IKBKG	MO000019309
ING1	MO000045001
IQGAP1	MO000018459
IRS1	MO000032562
JAG1	MO000157932
JAK3	MO000021344
JUN	MO000019469,MO000058322
KAT2B	MO000056491
KSR1	MO000032436
LATS2	MO000198783
LCK	MO000019253
LRRK2	MO000101468
MAP2K1	MO000009386,MO000058389
MAP2K3	MO000009403,MO000022217,MO000078695
MAP2K4	MO000021423,MO000030904,MO000041374
MAP2K5	MO000009410
MAP2K6	MO000009415,MO000019341,MO000019344,MO000022211
MAP2K7	MO000022227,MO000102208,MO000102216
MAP3K1	MO000009086,MO000060191
MAP3K10	MO000022168
MAP3K11	MO000022231
MAP3K12	MO000022232
MAP3K2	MO000030900
MAP3K20	MO000036570,MO000036572,MO000036573
MAP3K3	MO000032614,MO000255997
MAP3K4	MO000032664
MAP3K5	MO000093679
MAP3K7	MO000021242
MAPK1	MO000004677,MO000034342
MAPK11	MO000022205,MO000022209,MO000092896
MAPK12	MO000004689,MO000022213,MO000033757,MO000059157
MAPK13	MO000022210,MO000022213,MO000085403
MAPK14	MO000009339,MO000022208,MO000022213,MO000059863,MO000059867,MO000085411,MO000094436
MAPK3	MO000004672,MO000031003
MAPK6	MO000004681,MO000137417
MAPK7	MO000004688,MO000079051
MAPK8	MO000007821,MO000022229,MO000030998,MO000033485
MAPK9	MO000030859,MO000030860,MO000031000
MAPKAP1	MO000122463
MAPKAPK2	MO000009253
MAPKAPK3	MO000094993
MDM2	MO000023311,MO000056625
MLST8	MO000122463
MTOR	MO000032381,MO000054152,MO000102668,MO000122463
NCF1	MO000161481
NCF2	MO000161481
NCF4	MO000161481
NFKBIA	MO000019315
NOTCH1	MO000030959
OGT	MO000068035,MO000092500
PAK1	MO000019481
PAK2	MO000042946,MO000084423
PASK	MO000133572
PBK	MO000145136
PDGFB	MO000038746
PDGFRB	MO000038746
PDPK1	MO000058803
PHLPP1	MO000162677
PIAS1	MO000030911,MO000079236
PIAS3	MO000032670
PKM	MO000086947
PKN1	MO000034393
PLK1	MO000022403,MO000096187
PPARG	MO000033565
PPM1A	MO000036590
PPM1D	MO000023642
PPP2CA	MO000085311
PPP3CA	MO000035083
PPP3CB	MO000035080
PPP3CC	MO000035082
PPP4C	MO000132732
PRKACA	MO000102457
PRKCA	MO000022393,MO000057624
PRKCD	MO000031189
PRKCE	MO000059481
PRMT5	MO000064551
PRPF4	MO000087569
PTK6	MO000102191
PTPN1	MO000021383,MO000056756
PTPN11	MO000021373
PTPN13	MO000020924
PTPN3	MO000068836
PTPN7	MO000059843
RAC1	MO000019507,MO000161481
RAD23A	MO000035206
RAF1	MO000021172,MO000057036,MO000178581
RARA	MO000033904
RARB	MO000019618
RB1	MO000017774
RBX1	MO000321854
RELA	MO000019363,MO000025736,MO000033264,MO000078326,MO000079319,MO000079350,MO000083371,MO000129437,MO000257758,MO000332055,MO000480264
RICTOR	MO000054152,MO000054153,MO000090102,MO000122463
RIPK2	MO000020436,MO000094745
RPS6KA1	MO000032335,MO000255877
RPS6KA2	MO000022265,MO000255879
RPS6KA3	MO000032352
RPS6KA5	MO000036634,MO000057454
RPS6KB1	MO000089506
RPTOR	MO000032381
SETD7	MO000044865
SGK1	MO000033272
SIRT1	MO000023365,MO000084718
SKP1	MO000321854
SKP2	MO000019867
SNAI1	MO000044348,MO000133252
SPI1	MO000085616
SRC	MO000021478
STAT3	MO000013123,MO000078237,MO000078241,MO000165730,MO000169494
STK10	MO000045420
STK11	MO000117253
SUMO1	MO000019973
SYTL1	MO000161481
TAB1	MO000019071
TAB2	MO000022126
TAOK1	MO000036592
TAOK2	MO000036594
TARDBP	MO000145171
TCF3	MO000024771,MO000024773,MO000024920,MO000032492
TP53	MO000019548,MO000056623
